programa,no_clase,no_alumnos
Especialidad en Dirección de Operaciones,1494,10
Especialidad en Ingeniería y Gestión Ambiental,1495,3
Especialidad en Ingeniería y Gestión de Proyectos,1496,10
Especialidad en Logística Internacional,1497,2
Especialidad en Robótica y Manufactura,1498,1
Especialidad en Dirección de Operaciones,1500,6
Especialidad en Ingeniería y Gestión Ambiental,1501,3
Especialidad en Ingeniería y Gestión de Proyectos,1502,17
Especialidad en Logística Internacional,1503,3
Maestría en Ciencia de Datos,1506,3
Maestría en Ingeniería,1508,6
Maestría en Dirección de Operaciones,1509,1
Especialidad en Dirección de Operaciones,1510,3
Especialidad en Ingeniería y Gestión de Proyectos,1512,3
Especialidad en Logística Internacional,1513,3
Especialidad en Simuladores Gráficos,1515,2
Especialidad en Dirección de Operaciones,1517,12
Maestría en Ingeniería,1518,2
Especialidad en Ingeniería y Gestión de Proyectos,1520,27
Maestría en Ingeniería,1521,3
Especialidad en Ingeniería y Gestión de Proyectos,1522,13
Maestría en Ingeniería,1523,1
Maestría en Ingeniería,1524,2
Maestría en Dirección de Operaciones,1526,2
Maestría en Ingeniería,1528,4
Especialidad en Dirección de Operaciones,1530,2
Especialidad en Ingeniería y Gestión Ambiental,1531,1
Especialidad en Ingeniería y Gestión de Proyectos,1532,3
Especialidad en Logística Internacional,1533,1
Maestría en Ciencia de Datos,1536,3
Especialidad en Dirección de Operaciones,1537,4
Especialidad en Ingeniería y Gestión Ambiental,1538,3
Especialidad en Ingeniería y Gestión de Proyectos,1539,11
Especialidad en Logística Internacional,1540,2
Especialidad en Robótica y Manufactura,1541,1
Especialidad en Simuladores Gráficos,1542,2
Especialidad en Ingeniería y Gestión de Proyectos,1543,26
Maestría en Ingeniería,1544,4
Especialidad en Ingeniería y Gestión de Proyectos,1545,10
Especialidad en Dirección de Operaciones,1548,9
Maestría en Ingeniería,1550,3
Especialidad en Ingeniería y Gestión de Proyectos,1551,35
Especialidad en Dirección de Operaciones,1553,25
Maestría en Ingeniería y Gestión de la Cadena de Suministros,1554,1
Maestría en Ingeniería,1555,2
Especialidad en Logística Internacional,1556,13
Maestría en Ingeniería,1558,3
Maestría en Ingeniería y Gestión de la Cadena de Suministros,1559,2
Maestría en Ingeniería,1560,4
Especialidad en Simuladores Gráficos,1561,19
Maestría en Ingeniería,1564,1
Especialidad en Robótica y Manufactura,1565,5
Especialidad en Ingeniería y Gestión Ambiental,1566,23
Especialidad en Dirección de Operaciones,1568,11
Especialidad en Ingeniería y Gestión de Proyectos,1569,11
Especialidad en Dirección de Operaciones,1570,1
Especialidad en Ingeniería y Gestión de Proyectos,1571,14
Especialidad en Logística Internacional,1572,1
Especialidad en Ingeniería y Gestión Ambiental,1587,12
Especialidad en Robótica y Manufactura,1588,3
Especialidad en Logística Internacional,1589,10
Especialidad en Simuladores Gráficos,1590,15
Especialidad en Dirección de Operaciones,1592,4
Especialidad en Ingeniería y Gestión Ambiental,1593,1
Especialidad en Ingeniería y Gestión de Proyectos,1594,1
Especialidad en Robótica y Manufactura,1596,1
Especialidad en Simuladores Gráficos,1597,1
Especialidad en Ingeniería y Gestión Ambiental,1599,2
Especialidad en Ingeniería y Gestión de Proyectos,1600,22
Especialidad en Logística Internacional,1601,2
Especialidad en Robótica y Manufactura,1602,1
Especialidad en Simuladores Gráficos,1603,2
Especialidad en Dirección de Operaciones,1604,2
Especialidad en Dirección de Operaciones,1605,4
Especialidad en Ingeniería y Gestión Ambiental,1606,1
Especialidad en Ingeniería y Gestión de Proyectos,1607,5
Especialidad en Logística Internacional,1608,1
Especialidad en Simuladores Gráficos,1610,1
Maestría en Ingeniería y Gestión de la Cadena de Suministros,1612,1
Maestría en Ingeniería,1613,9
Especialidad en Ingeniería y Gestión de Proyectos,1616,1
Maestría en Ingeniería y Gestión de la Cadena de Suministros,1617,1
Maestría en Ingeniería,1618,3
Maestría en Ingeniería y Gestión de la Cadena de Suministros,1620,3
Maestría en Ingeniería,1621,7
Maestría en Dirección de Operaciones,1622,1
Especialidad en Robótica y Manufactura,1623,2
Especialidad en Dirección de Operaciones,1624,4
Especialidad en Ingeniería y Gestión Ambiental,1625,3
Especialidad en Ingeniería y Gestión de Proyectos,1626,5
Especialidad en Logística Internacional,1627,1
Especialidad en Simuladores Gráficos,1628,2
Maestría en Ciencia de Datos,1689,25
Maestría en Ciencia de Datos,1774,10
Maestría en Ciencia de Datos,1775,25
Maestría en Ciencia de Datos,1794,24
Maestría en Ciencia de Datos,1795,23
Maestría en Ciencia de Datos,1796,11
Maestría en Ciencia de Datos,1798,23
Maestría en Ciencia de Datos,1799,15
Maestría en Ciencia de Datos,1800,24
Maestría en Ciencia de Datos,1802,20
Especialidad en Ingeniería y Gestión Ambiental,9507,6
Especialidad en Robótica y Manufactura,9530,4
Maestría en Ingeniería,9531,1
Especialidad en Robótica y Manufactura,9532,5
Maestría en Ingeniería,9533,1
Especialidad en Robótica y Manufactura,9535,4
Maestría en Ingeniería,9536,1
Maestría en Ciencia de Datos,9539,21
Doctorado en Inteligencia Artificial,9899,4
Especialidad en Dirección de Operaciones,9939,1
Especialidad en Ingeniería y Gestión de Proyectos,9940,4
Especialidad en Simuladores Gráficos,10235,4
