nombre_modulo,programa,no_clase,salon,Campus,fecha_inicio,fecha_fin,dia,hora_inicio,hora_fin
Temas Select. de Filosofía III,Maestría en Historia del Pensamiento,1581,SF_6-3,Santa Fe,2023-03-20,2023-03-20,Lunes,19:00:00 ,22:00:00 
Temas Selectos de Filosofía I,Maestría en Historia del Pensamiento,1577,SF_6-1,Santa Fe,2023-03-20,2023-03-20,Lunes,19:00:00 ,22:00:00 
Temas Select. de Filosofía III,Maestría en Historia del Pensamiento,1581,SF_6-3,Santa Fe,2023-03-22,2023-03-22,Miercoles,19:00:00 ,22:00:00 
Temas Selectos de Filosofía I,Maestría en Historia del Pensamiento,1577,SF_6-1,Santa Fe,2023-03-22,2023-03-22,Miercoles,19:00:00 ,22:00:00 
Temas Select. de Filosofía III,Maestría en Historia del Pensamiento,1581,SF_6-3,Santa Fe,2023-03-27,2023-03-27,Lunes,19:00:00 ,22:00:00 
Temas Selectos de Filosofía I,Maestría en Historia del Pensamiento,1577,SF_6-1,Santa Fe,2023-03-27,2023-03-27,Lunes,19:00:00 ,22:00:00 
Temas Select. de Filosofía III,Maestría en Historia del Pensamiento,1581,SF_6-3,Santa Fe,2023-03-29,2023-03-29,Miercoles,19:00:00 ,22:00:00 
Temas Selectos de Filosofía I,Maestría en Historia del Pensamiento,1577,SF_6-1,Santa Fe,2023-03-29,2023-03-29,Miercoles,19:00:00 ,22:00:00 
Temas Select. de Filosofía III,Maestría en Historia del Pensamiento,1581,SF_6-3,Santa Fe,2023-04-17,2023-04-17,Lunes,19:00:00 ,22:00:00 
Temas Selectos de Filosofía I,Maestría en Historia del Pensamiento,1577,SF_6-1,Santa Fe,2023-04-17,2023-04-17,Lunes,19:00:00 ,22:00:00 
Temas Select. de Filosofía III,Maestría en Historia del Pensamiento,1581,SF_6-3,Santa Fe,2023-04-19,2023-04-19,Miercoles,19:00:00 ,22:00:00 
Temas Selectos de Filosofía I,Maestría en Historia del Pensamiento,1577,SF_6-1,Santa Fe,2023-04-19,2023-04-19,Miercoles,19:00:00 ,22:00:00 
Temas Select. de Filosofía III,Maestría en Historia del Pensamiento,1581,SF_6-3,Santa Fe,2023-04-24,2023-04-24,Lunes,19:00:00 ,22:00:00 
Temas Selectos de Filosofía I,Maestría en Historia del Pensamiento,1577,SF_6-1,Santa Fe,2023-04-24,2023-04-24,Lunes,19:00:00 ,22:00:00 
Temas Select. de Filosofía III,Maestría en Historia del Pensamiento,1581,SF_6-3,Santa Fe,2023-04-26,2023-04-26,Miercoles,19:00:00 ,22:00:00 
Temas Selectos de Filosofía I,Maestría en Historia del Pensamiento,1577,SF_6-1,Santa Fe,2023-04-26,2023-04-26,Miercoles,19:00:00 ,22:00:00 
Temas Select. de Filosofía III,Maestría en Historia del Pensamiento,1581,SF_6-3,Santa Fe,2023-05-03,2023-05-03,Miercoles,19:00:00 ,22:00:00 
Temas Selectos de Filosofía I,Maestría en Historia del Pensamiento,1577,SF_6-1,Santa Fe,2023-05-03,2023-05-03,Miercoles,19:00:00 ,22:00:00 
Temas Select. de Filosofía III,Maestría en Historia del Pensamiento,1581,SF_6-3,Santa Fe,2023-05-08,2023-05-08,Lunes,19:00:00 ,22:00:00 
Temas Selectos de Filosofía I,Maestría en Historia del Pensamiento,1577,SF_6-1,Santa Fe,2023-05-08,2023-05-08,Lunes,19:00:00 ,22:00:00 
Temas Select. de Filosofía III,Maestría en Historia del Pensamiento,1581,SF_6-3,Santa Fe,2023-05-15,2023-05-15,Lunes,19:00:00 ,22:00:00 
Temas Selectos de Filosofía I,Maestría en Historia del Pensamiento,1577,SF_6-1,Santa Fe,2023-05-15,2023-05-15,Lunes,19:00:00 ,22:00:00 
Temas Selec de Hist. Ideas III,Maestría en Historia del Pensamiento,1584,SF_6-3,Santa Fe,2023-05-17,2023-05-17,Miercoles,19:00:00 ,22:00:00 
Temas Selec de Hist. Ideas I,Maestría en Historia del Pensamiento,1579,SF_6-1,Santa Fe,2023-05-17,2023-05-17,Miercoles,19:00:00 ,22:00:00 
Temas Selec de Hist. Ideas III,Maestría en Historia del Pensamiento,1584,SF_6-3,Santa Fe,2023-05-22,2023-05-22,Lunes,19:00:00 ,22:00:00 
Temas Selec de Hist. Ideas I,Maestría en Historia del Pensamiento,1579,SF_6-1,Santa Fe,2023-05-22,2023-05-22,Lunes,19:00:00 ,22:00:00 
Temas Selec de Hist. Ideas III,Maestría en Historia del Pensamiento,1584,SF_6-3,Santa Fe,2023-05-24,2023-05-24,Miercoles,19:00:00 ,22:00:00 
Temas Selec de Hist. Ideas I,Maestría en Historia del Pensamiento,1579,SF_6-1,Santa Fe,2023-05-24,2023-05-24,Miercoles,19:00:00 ,22:00:00 
Temas Selec de Hist. Ideas III,Maestría en Historia del Pensamiento,1584,SF_6-3,Santa Fe,2023-05-29,2023-05-29,Lunes,19:00:00 ,22:00:00 
Temas Selec de Hist. Ideas I,Maestría en Historia del Pensamiento,1579,SF_6-1,Santa Fe,2023-05-29,2023-05-29,Lunes,19:00:00 ,22:00:00 
Temas Selec de Hist. Ideas III,Maestría en Historia del Pensamiento,1584,SF_6-3,Santa Fe,2023-05-31,2023-05-31,Miercoles,19:00:00 ,22:00:00 
Temas Selec de Hist. Ideas I,Maestría en Historia del Pensamiento,1579,SF_6-1,Santa Fe,2023-05-31,2023-05-31,Miercoles,19:00:00 ,22:00:00 
